Reporting Period,Accounting Period,Artist(s),Release,Track,UPC,ISRC,Partner,Country,Type,Units,Revenue (USD),Revenue Share (%),Split Pay Share (%)
2024-11-01,2024-12-01,Le Zhang,,On Christmas Eve,,QZMHK2524964,SOUNDCLOUD,AU,AD_STREAM,3.000000000,0.003590900,100,100
2024-11-01,2024-12-01,Le Zhang,,On Christmas Eve,,QZMHK2524964,SOUNDCLOUD,ES,AD_STREAM,1.000000000,0.000076200,100,100
2024-11-01,2024-12-01,Le Zhang,,On Christmas Eve,,QZMHK2524964,SOUNDCLOUD,FR,AD_STREAM,1.000000000,0.000666500,100,100
2024-11-01,2024-12-01,Le Zhang,,On Christmas Eve,,QZMHK2524964,SOUNDCLOUD,GB,AD_STREAM,2.000000000,0.002384700,100,100
2024-11-01,2024-12-01,Le Zhang,,On Christmas Eve,,QZMHK2524964,SOUNDCLOUD,IE,AD_STREAM,1.000000000,0.000864900,100,100
2024-11-01,2024-12-01,Le Zhang,,On Christmas Eve,,QZMHK2524964,SOUNDCLOUD,US,AD_STREAM,5.000000000,0.011309900,100,100
2024-11-01,2024-12-01,Le Zhang,,On Christmas Eve,,QZMHK2524964,SOUNDCLOUD,AU,SUB_STREAM,1.000000000,0.004468600,100,100
2024-11-01,2024-12-01,Le Zhang,,On Christmas Eve,,QZMHK2524964,SOUNDCLOUD,GB,SUB_STREAM,1.000000000,0.009351600,100,100
2024-11-01,2024-12-01,Le Zhang,,On Christmas Eve,,QZMHK2524964,SOUNDCLOUD,US,SUB_STREAM,4.000000000,0.084866900,100,100
2024-11-01,2024-12-01,Le Zhang,,成年人的友谊,,QZMHK2546229,SOUNDCLOUD,AT,AD_STREAM,2.000000000,0.001096700,100,100
2024-11-01,2024-12-01,Le Zhang,,成年人的友谊,,QZMHK2546229,SOUNDCLOUD,CA,AD_STREAM,2.000000000,0.001061100,100,100
2024-11-01,2024-12-01,Le Zhang,,成年人的友谊,,QZMHK2546229,SOUNDCLOUD,NL,AD_STREAM,1.000000000,0.000457500,100,100
2024-11-01,2024-12-01,Le Zhang,,成年人的友谊,,QZMHK2546229,SOUNDCLOUD,US,AD_STREAM,4.000000000,0.008995600,100,100
2024-11-01,2024-12-01,Le Zhang,,成年人的友谊,,QZMHK2546229,SOUNDCLOUD,FR,SUB_STREAM,1.000000000,0.018233200,100,100
2024-11-01,2024-12-01,Le Zhang,,成年人的友谊,,QZMHK2546229,SOUNDCLOUD,US,SUB_STREAM,1.000000000,0.003745600,100,100
2024-11-01,2024-12-01,Le Zhang,,圣诞节的前一晚,,QZMHL2557761,SOUNDCLOUD,US,AD_STREAM,3.000000000,0.007398100,100,100
2024-11-01,2024-12-01,Le Zhang,,勇敢的眼泪,,QZMHL2596637,SOUNDCLOUD,DE,AD_STREAM,4.000000000,0.002021200,100,100
2024-11-01,2024-12-01,Le Zhang,,围炉夜话,,QZMHM2512928,SOUNDCLOUD,US,AD_STREAM,3.000000000,0.007398100,100,100
2024-11-01,2024-12-01,Le Zhang,,Firehouse,,QZMHM2515177,SOUNDCLOUD,US,AD_STREAM,4.000000000,0.009309800,100,100
2024-11-01,2024-12-01,Le Zhang,,未言梦,,QZMHM2539632,SOUNDCLOUD,US,AD_STREAM,3.000000000,0.007398100,100,100
2024-11-01,2024-12-01,Le Zhang,,时间的证明,,QZMHN2450712,SOUNDCLOUD,US,AD_STREAM,3.000000000,0.007398100,100,100
2024-11-01,2024-12-01,Le Zhang,,望月寻光,,QZMHP2490279,SOUNDCLOUD,FR,AD_STREAM,1.000000000,0.000668900,100,100
2024-11-01,2024-12-01,Le Zhang,,望月寻光,,QZMHP2490279,SOUNDCLOUD,GB,AD_STREAM,1.000000000,0.001778800,100,100
2024-11-01,2024-12-01,Le Zhang,,望月寻光,,QZMHP2490279,SOUNDCLOUD,NZ,AD_STREAM,1.000000000,0.001267500,100,100
2024-11-01,2024-12-01,Le Zhang,,望月寻光,,QZMHP2490279,SOUNDCLOUD,US,AD_STREAM,6.000000000,0.013166100,100,100
2024-11-01,2024-12-01,Le Zhang,,望月寻光,,QZMHP2490279,SOUNDCLOUD,GB,SUB_STREAM,1.000000000,0.001757500,100,100
2024-11-01,2024-12-01,Le Zhang,,望月寻光,,QZMHP2490279,SOUNDCLOUD,US,SUB_STREAM,2.000000000,0.021975800,100,100
2024-11-01,2024-12-01,Le Zhang,,怪屋,,QZS632481775,SOUNDCLOUD,FR,AD_STREAM,1.000000000,0.000492500,100,100
2024-11-01,2024-12-01,Le Zhang,,Fireside Chat,,QZS632579333,SOUNDCLOUD,US,AD_STREAM,7.000000000,0.016008400,100,100
2024-11-01,2024-12-01,Le Zhang,,洁白落下,,QZS642431370,SOUNDCLOUD,US,AD_STREAM,2.000000000,0.004932000,100,100
2024-11-01,2024-12-01,Le Zhang,,遥远的从前,,QZS642584802,SOUNDCLOUD,US,AD_STREAM,3.000000000,0.007398100,100,100
2024-11-01,2024-12-01,Le Zhang,,诡屋,,QZS662403693,SOUNDCLOUD,US,AD_STREAM,3.000000000,0.007398100,100,100
2024-11-01,2025-01-01,Le Zhang,On Christmas Eve,On Christmas Eve,085494243003,QZMHK2524964,FACEBOOK,,UNKNOWN_STREAM,1.000000000,0.000297800,80,100
2024-12-01,2025-01-01,Le Zhang,,On Christmas Eve,,QZMHK2524964,SOUNDCLOUD,AU,AD_STREAM,6.000000000,0.008053200,100,100
2024-12-01,2025-01-01,Le Zhang,,On Christmas Eve,,QZMHK2524964,SOUNDCLOUD,CA,AD_STREAM,11.000000000,0.003248300,100,100
2024-12-01,2025-01-01,Le Zhang,,On Christmas Eve,,QZMHK2524964,SOUNDCLOUD,DE,AD_STREAM,10.000000000,0.003068200,100,100
2024-12-01,2025-01-01,Le Zhang,,On Christmas Eve,,QZMHK2524964,SOUNDCLOUD,DK,AD_STREAM,1.000000000,0E-9,100,100
2024-12-01,2025-01-01,Le Zhang,,On Christmas Eve,,QZMHK2524964,SOUNDCLOUD,ES,AD_STREAM,1.000000000,0E-9,100,100
2024-12-01,2025-01-01,Le Zhang,,On Christmas Eve,,QZMHK2524964,SOUNDCLOUD,FI,AD_STREAM,1.000000000,0E-9,100,100
2024-12-01,2025-01-01,Le Zhang,,On Christmas Eve,,QZMHK2524964,SOUNDCLOUD,FR,AD_STREAM,2.000000000,0.000166300,100,100
2024-12-01,2025-01-01,Le Zhang,,On Christmas Eve,,QZMHK2524964,SOUNDCLOUD,GB,AD_STREAM,7.000000000,0.009005900,100,100
2024-12-01,2025-01-01,Le Zhang,,On Christmas Eve,,QZMHK2524964,SOUNDCLOUD,NL,AD_STREAM,2.000000000,0.000796900,100,100
2024-12-01,2025-01-01,Le Zhang,,On Christmas Eve,,QZMHK2524964,SOUNDCLOUD,NZ,AD_STREAM,2.000000000,0E-9,100,100
2024-12-01,2025-01-01,Le Zhang,,On Christmas Eve,,QZMHK2524964,SOUNDCLOUD,PT,AD_STREAM,1.000000000,0.000098800,100,100
2024-12-01,2025-01-01,Le Zhang,,On Christmas Eve,,QZMHK2524964,SOUNDCLOUD,US,AD_STREAM,50.000000000,0.098152800,100,100
2024-12-01,2025-01-01,Le Zhang,,On Christmas Eve,,QZMHK2524964,SOUNDCLOUD,DE,SUB_STREAM,4.000000000,0.044365500,100,100
2024-12-01,2025-01-01,Le Zhang,,On Christmas Eve,,QZMHK2524964,SOUNDCLOUD,FR,SUB_STREAM,7.000000000,0.063986300,100,100
2024-12-01,2025-01-01,Le Zhang,,On Christmas Eve,,QZMHK2524964,SOUNDCLOUD,GB,SUB_STREAM,1.000000000,0.017496100,100,100
2024-12-01,2025-01-01,Le Zhang,,On Christmas Eve,,QZMHK2524964,SOUNDCLOUD,IE,SUB_STREAM,3.000000000,0.119822400,100,100
2024-12-01,2025-01-01,Le Zhang,,On Christmas Eve,,QZMHK2524964,SOUNDCLOUD,NZ,SUB_STREAM,1.000000000,0.013716600,100,100
2024-12-01,2025-01-01,Le Zhang,,On Christmas Eve,,QZMHK2524964,SOUNDCLOUD,US,SUB_STREAM,7.000000000,0.179015100,100,100
2024-12-01,2025-01-01,Le Zhang,,成年人的友谊,,QZMHK2546229,SOUNDCLOUD,US,AD_STREAM,1.000000000,0.002819600,100,100
2024-12-01,2025-01-01,Le Zhang,,Ancient Manuscripts,,QZMHL2534608,SOUNDCLOUD,AU,AD_STREAM,1.000000000,0E-9,100,100
2024-12-01,2025-01-01,Le Zhang,,Ancient Manuscripts,,QZMHL2534608,SOUNDCLOUD,DE,AD_STREAM,1.000000000,0.000456900,100,100
2024-12-01,2025-01-01,Le Zhang,,Ancient Manuscripts,,QZMHL2534608,SOUNDCLOUD,GB,AD_STREAM,1.000000000,0E-9,100,100
2024-12-01,2025-01-01,Le Zhang,,Ancient Manuscripts,,QZMHL2534608,SOUNDCLOUD,US,AD_STREAM,5.000000000,0.006398600,100,100
2024-12-01,2025-01-01,Le Zhang,,残卷,,QZMHL2540486,SOUNDCLOUD,AU,AD_STREAM,1.000000000,0.001361400,100,100
2024-12-01,2025-01-01,Le Zhang,,残卷,,QZMHL2540486,SOUNDCLOUD,DE,AD_STREAM,1.000000000,0.000315800,100,100
2024-12-01,2025-01-01,Le Zhang,,残卷,,QZMHL2540486,SOUNDCLOUD,SE,AD_STREAM,1.000000000,0.000276400,100,100
2024-12-01,2025-01-01,Le Zhang,,残卷,,QZMHL2540486,SOUNDCLOUD,US,AD_STREAM,5.000000000,0.011046900,100,100
2024-12-01,2025-01-01,Le Zhang,,勇敢的眼泪,,QZMHL2596637,SOUNDCLOUD,DE,AD_STREAM,3.000000000,0.001190600,100,100
2024-12-01,2025-01-01,Le Zhang,,下棋,,QZMHM2570350,SOUNDCLOUD,AU,AD_STREAM,1.000000000,0.001333500,100,100
2024-12-01,2025-01-01,Le Zhang,,下棋,,QZMHM2570350,SOUNDCLOUD,CA,AD_STREAM,2.000000000,0.000458400,100,100
2024-12-01,2025-01-01,Le Zhang,,下棋,,QZMHM2570350,SOUNDCLOUD,DE,AD_STREAM,11.000000000,0.004500500,100,100
2024-12-01,2025-01-01,Le Zhang,,下棋,,QZMHM2570350,SOUNDCLOUD,ES,AD_STREAM,2.000000000,0.000060100,100,100
2024-12-01,2025-01-01,Le Zhang,,下棋,,QZMHM2570350,SOUNDCLOUD,FR,AD_STREAM,3.000000000,0.000861700,100,100
2024-12-01,2025-01-01,Le Zhang,,下棋,,QZMHM2570350,SOUNDCLOUD,GB,AD_STREAM,5.000000000,0.003702100,100,100
2024-12-01,2025-01-01,Le Zhang,,下棋,,QZMHM2570350,SOUNDCLOUD,IT,AD_STREAM,2.000000000,0.001584800,100,100
2024-12-01,2025-01-01,Le Zhang,,下棋,,QZMHM2570350,SOUNDCLOUD,NL,AD_STREAM,2.000000000,0.000699800,100,100
2024-12-01,2025-01-01,Le Zhang,,下棋,,QZMHM2570350,SOUNDCLOUD,US,AD_STREAM,17.000000000,0.030225600,100,100
2024-12-01,2025-01-01,Le Zhang,,下棋,,QZMHM2570350,SOUNDCLOUD,GB,SUB_STREAM,1.000000000,0.004686800,100,100
2024-12-01,2025-01-01,Le Zhang,,下棋,,QZMHM2570350,SOUNDCLOUD,US,SUB_STREAM,1.000000000,0.005552200,100,100
2024-12-01,2025-01-01,Le Zhang,,魔法师的草药茶,,QZMHM2571698,SOUNDCLOUD,CA,AD_STREAM,1.000000000,0.000345000,100,100
2024-12-01,2025-01-01,Le Zhang,,魔法师的草药茶,,QZMHM2571698,SOUNDCLOUD,DE,AD_STREAM,1.000000000,0E-9,100,100
